,Proper Name,Distance,Mass,Radius
0,Sun,0.000015813,1,1
1,Sirius,0008.6,2.1,2.1
2,Canopus,0310,15,15
3,Alpha Centauri,0004.4,1.1,1.1
4,Arcturus,0037,1.1,1.1
5,Vega,0025,2.2,2.2
6,Capella,0043,2.6,2.6
7,Rigel,0860,23,23
8,Procyon,0011.4,1.5,1.5
9,Betelgeuse,0640[1],20,20
10,Achernar,0144,6.7,6.7
11,Hadar,0390,10.5,10.5
12,Altair,0017,1.8,1.8
13,Acrux,0320,18,18
14,Aldebaran,0065,1.5,1.5
15,Antares,0600,12,12
16,Spica,0260,11.43,11.43
17,Pollux,0034,1.9,1.9
18,Fomalhaut,0025,1.9,1.9
19,Deneb,"2,600",19,19
20,Mimosa,0350,16,16
21,Regulus,0077,3.8,3.8
22,Adhara,0430,12.5,12.5
23,Shaula,0700,14.5,14.5
24,Castor,0052,2.8,2.8
25,Gacrux,0088,1.5,1.5
26,Bellatrix,0240,8.6,8.6
27,Elnath,0130,5.0,5.0
28,Miaplacidus,0110,3.5,3.5
29,Alnilam,"2,000",32,32
30,Gamma Velorum,"01,100",9.0,9.0
31,Alnair,0101,4.0,4.0
32,Alioth,0081,2.9,2.9
33,Alnitak,01050,33,33
34,Dubhe,0120,4.25,4.25
35,Mirfak,0590,8.5,8.5
36,Wezen,"1,600",17,17
37,Sargas,0270,5.7,5.7
38,Kaus Australis,0140,3.5,3.5
39,Avior,0630,9.0,9.0
40,Alkaid,0104,6.1,6.1
41,Menkalinan,081,2.39,2.39
42,Atria,0390,7,7
43,Alhena,0109,2.8,2.8
44,Peacock,0180,5.9,5.9
45,Alsephina[2],0080,2.4,2.4
46,Mirzam,0500,13.5,13.5
47,Polaris,0430,5.4,5.4
48,Alphard,0180,3.0,3.0
49,Mintaka,01200,24,24
50,Scheat,0196,2.1,2.1
51,Almaaz,0653,15,15
52,Rasalgethi,0360,2.8,2.8
53,Tau Ceti,011.9,0.783,0.783
54,Delta Pavonis,019.92,0.991,0.991
55,Ran,010.48,0.82,0.82
56,V382 Carinae,"08,900",20,20
57,Eta Carinae,"07,500",100,100
58,Delta Cephei,0887,4.5,4.5
59,Mu Cephei,"06,000",19.2,19.2
60,Titawin,044.25,1.27,1.27
61,Rho Cassiopeiae,"08,154",22,22
62,P Cygni,"05,545",30,30
63,La Superba,"01,000",,
64,VV Cephei,"04,900",18.2,18.2
65,61 Cygni,011.41,0.7,0.7
66,R Doradus,0178,0.7 - 1.0,0.7 - 1.0
67,Polaris Australis,0281,1.59,1.59
68,R Coronae Borealis,"04,566",0.85,0.85
69,54 Piscium,036.1,0.76,0.76
70,Mira,0300,1.2,1.2
71,RW Cephei,"014,000",13.9,13.9
72,Lacaille 8760,012.87,0.6,0.6
73,V838 Monocerotis,"019,896",?,?
74,HD 140283,0190,?,?
75,II Pegasi,0130,0.8,0.8
76,VY Canis Majoris,"03,900",17,17
77,Pistol Star,"025,000",100,100
78,S Doradus,"0169,000",24,24
79,UY Scuti,"05,100",7–10,7–10
80,Barnard's Star,05.98,0.14,0.14
81,Luhman 16,06.52,0.04,0.04
82,Proxima Centauri,04.25,0.12,0.12
83,KIC 8462852,"01,470",1.43,1.43
84,R136a1,"0163,000",290,290
85,Melnick 42,"0163,000",189,189
86,WR 102,"018,134",19,19
87,VFTS 352,"0164,000",57.48,57.48
88,YBP 1194,"02,772",1.01,1.01
89,Gliese 1214,047.5,0.16,0.16
90,NML Cygni,"05,251",50,50
91,VB 10,018.72,0.075,0.075
92,WOH G64,"0163,000",<20,<20
93,TRAPPIST-1,039.6,0.089,0.089
94,2MASS J0523-1403,040.3,0.07,0.07
95,WISE 0855−0714,07.27,0.003,0.003
96,Icarus,"014,400,000,000",33,33
